"bout_id","video_name","animal_id","start_frame","end_frame","behavior","duration_frames","cluster_id","cluster_method"
141,"org-3-uploads-stage.study_447.cage_4840.2025-08-16.23.16.mp4",0,1295,1335,"turn_left",41,4,"kmeans"
142,"org-3-uploads-stage.study_447.cage_4840.2025-08-16.23.16.mp4",0,1410,1420,"turn_left",11,2,"kmeans"
143,"org-3-uploads-stage.study_450.cage_4891.2025-08-15.10.49.mp4",1,482,502,"turn_left",21,2,"kmeans"
144,"org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4",0,568,595,"turn_left",28,4,"kmeans"
145,"org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4",0,1055,1075,"turn_left",21,1,"kmeans"
146,"org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4",0,1608,1628,"turn_left",21,1,"kmeans"
147,"org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4",2,1735,1745,"turn_left",11,2,"kmeans"
148,"org-3-uploads-stage.study_448.cage_4877.2025-08-30.02.22.mp4",2,420,440,"turn_left",21,2,"kmeans"
149,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,340,359,"turn_left",20,2,"kmeans"
150,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,431,451,"turn_left",21,2,"kmeans"
151,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,455,470,"turn_left",16,5,"kmeans"
152,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,482,503,"turn_left",22,4,"kmeans"
153,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,549,572,"turn_left",24,4,"kmeans"
154,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,611,636,"turn_left",26,4,"kmeans"
155,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,699,715,"turn_left",17,5,"kmeans"
156,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,719,742,"turn_left",24,5,"kmeans"
157,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,750,765,"turn_left",16,2,"kmeans"
158,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,769,784,"turn_left",16,2,"kmeans"
159,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,822,869,"turn_left",48,4,"kmeans"
160,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,989,1011,"turn_left",23,1,"kmeans"
161,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",1,1384,1405,"turn_left",22,2,"kmeans"
162,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",1,1411,1421,"turn_left",11,3,"kmeans"
163,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",1,1462,1479,"turn_left",18,1,"kmeans"
164,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",1,1552,1571,"turn_left",20,1,"kmeans"
165,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",1,1650,1667,"turn_left",18,1,"kmeans"
166,"org-3-uploads-stage.study_508.cage_5524.2025-10-15.22.36.mp4",0,234,264,"turn_left",31,4,"kmeans"
167,"org-3-uploads-stage.study_508.cage_5524.2025-10-15.22.36.mp4",0,464,484,"turn_left",21,2,"kmeans"
168,"org-3-uploads-stage.study_447.cage_4840.2025-08-25.13.01.mp4",2,1708,1725,"turn_left",18,2,"kmeans"
169,"org-3-uploads-stage.study_431.cage_4555.2025-07-19.04.49.mp4",0,79,118,"turn_left",40,4,"kmeans"
170,"org-3-uploads-stage.study_431.cage_4555.2025-07-19.04.49.mp4",2,1433,1473,"turn_left",41,4,"kmeans"
171,"org-3-uploads-stage.study_460.cage_4979.2025-09-05.10.40.mp4",2,1146,1166,"turn_left",21,1,"kmeans"
172,"org-3-uploads-stage.study_460.cage_4979.2025-09-05.10.40.mp4",2,1216,1236,"turn_left",21,1,"kmeans"
173,"org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4",1,877,890,"turn_left",14,2,"kmeans"
174,"org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4",1,914,930,"turn_left",17,2,"kmeans"
175,"org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4",1,1262,1272,"turn_left",11,1,"kmeans"
176,"org-9-uploads-stage.study_1013.cage_4988.2025-03-15.08.26.mp4",2,172,192,"turn_left",21,1,"kmeans"
