"bout_id","video_name","animal_id","start_frame","end_frame","behavior","duration_frames","cluster_id","cluster_method"
103,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",2,1042,1061,"turn_left",20,3,"hierarchical"
104,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",0,749,760,"turn_left",12,1,"hierarchical"
105,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",1,265,285,"turn_left",21,1,"hierarchical"
106,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",1,312,318,"turn_left",7,1,"hierarchical"
107,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",1,825,857,"turn_left",33,1,"hierarchical"
108,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",1,1105,1121,"turn_left",17,1,"hierarchical"
109,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",1,1790,1799,"turn_left",10,1,"hierarchical"
110,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",2,1071,1087,"turn_left",17,1,"hierarchical"
111,"org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4",0,413,433,"turn_left",21,1,"hierarchical"
112,"org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4",2,360,390,"turn_left",31,1,"hierarchical"
113,"org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4",2,474,486,"turn_left",13,1,"hierarchical"
114,"org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4",1,651,660,"turn_left",10,1,"hierarchical"
115,"org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4",1,726,746,"turn_left",21,1,"hierarchical"
116,"org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4",1,1035,1045,"turn_left",11,1,"hierarchical"
117,"org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4",1,1455,1478,"turn_left",24,1,"hierarchical"
118,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,384,414,"turn_left",31,3,"hierarchical"
119,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,546,565,"turn_left",20,1,"hierarchical"
120,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,1399,1409,"turn_left",11,1,"hierarchical"
